Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
04 January 2024,46,APXMIDP ,3835.5,73.11
04 January 2024,46,N2EXMIDP,0,0
04 January 2024,47,APXMIDP ,1733.85,76.1
04 January 2024,47,N2EXMIDP,0,0
04 January 2024,48,APXMIDP ,1775.3,80.74
04 January 2024,48,N2EXMIDP,0,0
05 January 2024,1,APXMIDP ,1606.7,69.35
05 January 2024,1,N2EXMIDP,0,0
05 January 2024,2,APXMIDP ,1568.25,69.96
05 January 2024,2,N2EXMIDP,0,0
05 January 2024,3,APXMIDP ,1656.05,68.64
05 January 2024,3,N2EXMIDP,0,0
05 January 2024,4,APXMIDP ,1731.4,68.54
05 January 2024,4,N2EXMIDP,0,0
05 January 2024,5,APXMIDP ,1543.9,69.65
05 January 2024,5,N2EXMIDP,0,0
05 January 2024,6,APXMIDP ,1647.5,67.64
05 January 2024,6,N2EXMIDP,0,0
05 January 2024,7,APXMIDP ,1319,64.45
05 January 2024,7,N2EXMIDP,0,0
05 January 2024,8,APXMIDP ,1302.45,59.99
05 January 2024,8,N2EXMIDP,0,0
05 January 2024,9,APXMIDP ,1690.3,61.34
05 January 2024,9,N2EXMIDP,0,0
05 January 2024,10,APXMIDP ,1907.8,60.59
05 January 2024,10,N2EXMIDP,0,0
05 January 2024,11,APXMIDP ,2241,68.65
05 January 2024,11,N2EXMIDP,0,0
05 January 2024,12,APXMIDP ,1723.5,63.69
05 January 2024,12,N2EXMIDP,0,0
05 January 2024,13,APXMIDP ,2048.4,69.2
05 January 2024,13,N2EXMIDP,0,0
05 January 2024,14,APXMIDP ,2377.75,68.55
05 January 2024,14,N2EXMIDP,0,0
05 January 2024,15,APXMIDP ,2210.75,70.68
05 January 2024,15,N2EXMIDP,0,0
05 January 2024,16,APXMIDP ,2364.1,75.21
05 January 2024,16,N2EXMIDP,0,0
05 January 2024,17,APXMIDP ,2140.35,68.45
05 January 2024,17,N2EXMIDP,0,0
05 January 2024,18,APXMIDP ,2597.2,77.46
05 January 2024,18,N2EXMIDP,0,0
05 January 2024,19,APXMIDP ,2629.1,80.34
05 January 2024,19,N2EXMIDP,0,0
05 January 2024,20,APXMIDP ,2957.25,83.01
05 January 2024,20,N2EXMIDP,0,0
05 January 2024,21,APXMIDP ,2555.35,82.93
05 January 2024,21,N2EXMIDP,0,0
05 January 2024,22,APXMIDP ,2754.05,84.05
05 January 2024,22,N2EXMIDP,0,0
05 January 2024,23,APXMIDP ,2219.25,73.03
05 January 2024,23,N2EXMIDP,0,0
05 January 2024,24,APXMIDP ,2470.6,74.27
05 January 2024,24,N2EXMIDP,0,0
05 January 2024,25,APXMIDP ,2079.05,78.06
05 January 2024,25,N2EXMIDP,0,0
05 January 2024,26,APXMIDP ,2379.4,74.4
05 January 2024,26,N2EXMIDP,0,0
05 January 2024,27,APXMIDP ,2411.65,76.85
05 January 2024,27,N2EXMIDP,0,0
05 January 2024,28,APXMIDP ,2405.35,75.03
05 January 2024,28,N2EXMIDP,0,0
05 January 2024,29,APXMIDP ,2659,86.21
05 January 2024,29,N2EXMIDP,0,0
05 January 2024,30,APXMIDP ,3164.15,91.43
05 January 2024,30,N2EXMIDP,0,0
05 January 2024,31,APXMIDP ,2640.1,78.99
05 January 2024,31,N2EXMIDP,0,0
05 January 2024,32,APXMIDP ,2930.95,81.58
05 January 2024,32,N2EXMIDP,0,0
05 January 2024,33,APXMIDP ,2954.3,86.49
05 January 2024,33,N2EXMIDP,0,0
05 January 2024,34,APXMIDP ,2802.2,88.09
05 January 2024,34,N2EXMIDP,0,0
05 January 2024,35,APXMIDP ,2679.1,88.7
05 January 2024,35,N2EXMIDP,0,0
05 January 2024,36,APXMIDP ,2751.65,94.29
05 January 2024,36,N2EXMIDP,0,0
05 January 2024,37,APXMIDP ,2773.9,94.55
05 January 2024,37,N2EXMIDP,0,0
05 January 2024,38,APXMIDP ,3101.3,90.44
05 January 2024,38,N2EXMIDP,0,0
05 January 2024,39,APXMIDP ,2255.85,89.3
05 January 2024,39,N2EXMIDP,0,0
05 January 2024,40,APXMIDP ,2046.05,88.83
05 January 2024,40,N2EXMIDP,0,0
05 January 2024,41,APXMIDP ,1979.9,89.78
05 January 2024,41,N2EXMIDP,0,0
05 January 2024,42,APXMIDP ,1845.85,83.95
05 January 2024,42,N2EXMIDP,0,0
05 January 2024,43,APXMIDP ,2106.85,81.87
05 January 2024,43,N2EXMIDP,0,0
05 January 2024,44,APXMIDP ,1968.8,80.02
05 January 2024,44,N2EXMIDP,0,0
05 January 2024,45,APXMIDP ,2203.15,78.08
05 January 2024,45,N2EXMIDP,0,0
05 January 2024,46,APXMIDP ,2412.3,77.45
05 January 2024,46,N2EXMIDP,0,0
05 January 2024,47,APXMIDP ,1115.75,85.22
05 January 2024,47,N2EXMIDP,0,0
05 January 2024,48,APXMIDP ,755.7,95.48
05 January 2024,48,N2EXMIDP,0,0
06 January 2024,1,APXMIDP ,841.5,85.34
06 January 2024,1,N2EXMIDP,0,0
06 January 2024,2,APXMIDP ,806.45,85.73
06 January 2024,2,N2EXMIDP,0,0
06 January 2024,3,APXMIDP ,684.55,76.78
06 January 2024,3,N2EXMIDP,0,0
06 January 2024,4,APXMIDP ,782.5,69.08
06 January 2024,4,N2EXMIDP,0,0
06 January 2024,5,APXMIDP ,823.9,72.6
06 January 2024,5,N2EXMIDP,0,0
06 January 2024,6,APXMIDP ,861.2,67.85
06 January 2024,6,N2EXMIDP,0,0
06 January 2024,7,APXMIDP ,814.5,64.38
06 January 2024,7,N2EXMIDP,0,0
06 January 2024,8,APXMIDP ,862.1,64
06 January 2024,8,N2EXMIDP,0,0
06 January 2024,9,APXMIDP ,1029.35,63.99
06 January 2024,9,N2EXMIDP,0,0
06 January 2024,10,APXMIDP ,926.8,64.12
06 January 2024,10,N2EXMIDP,0,0
06 January 2024,11,APXMIDP ,1075.75,66.83
06 January 2024,11,N2EXMIDP,0,0
06 January 2024,12,APXMIDP ,1261.3,70.72
06 January 2024,12,N2EXMIDP,0,0
06 January 2024,13,APXMIDP ,1301.1,69.87
06 January 2024,13,N2EXMIDP,0,0
06 January 2024,14,APXMIDP ,1274.45,71.29
06 January 2024,14,N2EXMIDP,0,0
06 January 2024,15,APXMIDP ,1327.25,72.27
06 January 2024,15,N2EXMIDP,0,0
06 January 2024,16,APXMIDP ,1123.75,68.66
06 January 2024,16,N2EXMIDP,0,0
06 January 2024,17,APXMIDP ,1053.05,69.07
06 January 2024,17,N2EXMIDP,0,0
06 January 2024,18,APXMIDP ,1050.8,66.31
06 January 2024,18,N2EXMIDP,0,0
06 January 2024,19,APXMIDP ,1631.25,68.1
06 January 2024,19,N2EXMIDP,0,0
06 January 2024,20,APXMIDP ,1434.85,76.77
06 January 2024,20,N2EXMIDP,0,0
06 January 2024,21,APXMIDP ,1223.5,73.79
06 January 2024,21,N2EXMIDP,0,0
06 January 2024,22,APXMIDP ,1477.3,73.94
06 January 2024,22,N2EXMIDP,0,0
06 January 2024,23,APXMIDP ,1286.4,74.56
06 January 2024,23,N2EXMIDP,0,0
06 January 2024,24,APXMIDP ,1417.45,79.03
06 January 2024,24,N2EXMIDP,0,0
06 January 2024,25,APXMIDP ,1272.8,78.04
06 January 2024,25,N2EXMIDP,0,0
06 January 2024,26,APXMIDP ,1521.05,90.62
06 January 2024,26,N2EXMIDP,0,0
06 January 2024,27,APXMIDP ,1708.9,89.93
06 January 2024,27,N2EXMIDP,0,0
06 January 2024,28,APXMIDP ,2001.9,85.47
06 January 2024,28,N2EXMIDP,0,0
06 January 2024,29,APXMIDP ,1791.95,88.75
06 January 2024,29,N2EXMIDP,0,0
06 January 2024,30,APXMIDP ,1976.2,94.23
06 January 2024,30,N2EXMIDP,0,0
06 January 2024,31,APXMIDP ,1452.75,98.93
06 January 2024,31,N2EXMIDP,0,0
06 January 2024,32,APXMIDP ,1572.9,104.43
06 January 2024,32,N2EXMIDP,0,0
06 January 2024,33,APXMIDP ,1773.8,99.33
06 January 2024,33,N2EXMIDP,0,0
06 January 2024,34,APXMIDP ,1837.6,105.16
06 January 2024,34,N2EXMIDP,0,0
06 January 2024,35,APXMIDP ,1559.6,106.92
06 January 2024,35,N2EXMIDP,0,0
06 January 2024,36,APXMIDP ,1701.9,106.15
06 January 2024,36,N2EXMIDP,0,0
06 January 2024,37,APXMIDP ,2063.75,104.17
06 January 2024,37,N2EXMIDP,0,0
06 January 2024,38,APXMIDP ,1519,104.38
06 January 2024,38,N2EXMIDP,0,0
06 January 2024,39,APXMIDP ,1820.95,99.7
06 January 2024,39,N2EXMIDP,0,0
06 January 2024,40,APXMIDP ,1620.9,89.73
06 January 2024,40,N2EXMIDP,0,0
06 January 2024,41,APXMIDP ,1974.75,88.3
06 January 2024,41,N2EXMIDP,0,0
06 January 2024,42,APXMIDP ,1303.6,84.38
06 January 2024,42,N2EXMIDP,0,0
06 January 2024,43,APXMIDP ,1671.85,92.06
06 January 2024,43,N2EXMIDP,0,0
06 January 2024,44,APXMIDP ,1388.7,86.33
06 January 2024,44,N2EXMIDP,0,0
06 January 2024,45,APXMIDP ,1293.2,84.13
06 January 2024,45,N2EXMIDP,0,0
06 January 2024,46,APXMIDP ,1364.5,79.77
06 January 2024,46,N2EXMIDP,0,0
06 January 2024,47,APXMIDP ,864.8,71.44
06 January 2024,47,N2EXMIDP,0,0
