Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
04 January 2025,10,N2EXMIDP,0,0
04 January 2025,11,APXMIDP ,2002.4,97.76
04 January 2025,11,N2EXMIDP,0,0
04 January 2025,12,APXMIDP ,2008.75,92.78
04 January 2025,12,N2EXMIDP,0,0
04 January 2025,13,APXMIDP ,1921.4,96.48
04 January 2025,13,N2EXMIDP,0,0
04 January 2025,14,APXMIDP ,2123.9,99.8
04 January 2025,14,N2EXMIDP,0,0
04 January 2025,15,APXMIDP ,2023.15,102.39
04 January 2025,15,N2EXMIDP,0,0
04 January 2025,16,APXMIDP ,1859.5,100.27
04 January 2025,16,N2EXMIDP,0,0
04 January 2025,17,APXMIDP ,2116.1,102.62
04 January 2025,17,N2EXMIDP,0,0
04 January 2025,18,APXMIDP ,2096.25,107.8
04 January 2025,18,N2EXMIDP,0,0
04 January 2025,19,APXMIDP ,2107.1,98.99
04 January 2025,19,N2EXMIDP,0,0
04 January 2025,20,APXMIDP ,2069.65,101.93
04 January 2025,20,N2EXMIDP,0,0
04 January 2025,21,APXMIDP ,2100.65,100.16
04 January 2025,21,N2EXMIDP,0,0
04 January 2025,22,APXMIDP ,2499.25,101.65
04 January 2025,22,N2EXMIDP,0,0
04 January 2025,23,APXMIDP ,2432.25,108.42
04 January 2025,23,N2EXMIDP,0,0
04 January 2025,24,APXMIDP ,2423.05,113.52
04 January 2025,24,N2EXMIDP,0,0
04 January 2025,25,APXMIDP ,2556.15,102.91
04 January 2025,25,N2EXMIDP,0,0
04 January 2025,26,APXMIDP ,2422.25,106.65
04 January 2025,26,N2EXMIDP,0,0
04 January 2025,27,APXMIDP ,1999.7,115.19
04 January 2025,27,N2EXMIDP,0,0
04 January 2025,28,APXMIDP ,1881,115.22
04 January 2025,28,N2EXMIDP,0,0
04 January 2025,29,APXMIDP ,1744.3,115.1
04 January 2025,29,N2EXMIDP,0,0
04 January 2025,30,APXMIDP ,1806.5,115.79
04 January 2025,30,N2EXMIDP,0,0
04 January 2025,31,APXMIDP ,1524.4,115.92
04 January 2025,31,N2EXMIDP,0,0
04 January 2025,32,APXMIDP ,1620,121.1
04 January 2025,32,N2EXMIDP,0,0
04 January 2025,33,APXMIDP ,1295.2,131.84
04 January 2025,33,N2EXMIDP,0,0
04 January 2025,34,APXMIDP ,1725.25,133.32
04 January 2025,34,N2EXMIDP,0,0
04 January 2025,35,APXMIDP ,1385.25,136.53
04 January 2025,35,N2EXMIDP,0,0
04 January 2025,36,APXMIDP ,1596.05,138.36
04 January 2025,36,N2EXMIDP,0,0
04 January 2025,37,APXMIDP ,1611.2,139.01
04 January 2025,37,N2EXMIDP,0,0
04 January 2025,38,APXMIDP ,1600.85,130.7
04 January 2025,38,N2EXMIDP,0,0
04 January 2025,39,APXMIDP ,1540.3,121.31
04 January 2025,39,N2EXMIDP,0,0
04 January 2025,40,APXMIDP ,1534.4,106.3
04 January 2025,40,N2EXMIDP,0,0
04 January 2025,41,APXMIDP ,1718.95,110.11
04 January 2025,41,N2EXMIDP,0,0
04 January 2025,42,APXMIDP ,1792.35,107.26
04 January 2025,42,N2EXMIDP,0,0
04 January 2025,43,APXMIDP ,1674,108.81
04 January 2025,43,N2EXMIDP,0,0
04 January 2025,44,APXMIDP ,1519.75,109.02
04 January 2025,44,N2EXMIDP,0,0
04 January 2025,45,APXMIDP ,1580.85,108.36
04 January 2025,45,N2EXMIDP,0,0
04 January 2025,46,APXMIDP ,1526.1,106.99
04 January 2025,46,N2EXMIDP,0,0
04 January 2025,47,APXMIDP ,1614.05,98.29
04 January 2025,47,N2EXMIDP,0,0
04 January 2025,48,APXMIDP ,1455.85,100.94
04 January 2025,48,N2EXMIDP,0,0
05 January 2025,1,APXMIDP ,1290.8,109.25
05 January 2025,1,N2EXMIDP,0,0
05 January 2025,2,APXMIDP ,1544.6,109.36
05 January 2025,2,N2EXMIDP,0,0
05 January 2025,3,APXMIDP ,2055.2,103.82
05 January 2025,3,N2EXMIDP,0,0
05 January 2025,4,APXMIDP ,1467,105.1
05 January 2025,4,N2EXMIDP,0,0
05 January 2025,5,APXMIDP ,1455.05,109.6
05 January 2025,5,N2EXMIDP,0,0
05 January 2025,6,APXMIDP ,1333.3,104.14
05 January 2025,6,N2EXMIDP,0,0
05 January 2025,7,APXMIDP ,1322.15,100.67
05 January 2025,7,N2EXMIDP,0,0
05 January 2025,8,APXMIDP ,1264.5,91.67
05 January 2025,8,N2EXMIDP,0,0
05 January 2025,9,APXMIDP ,1290.5,85.37
05 January 2025,9,N2EXMIDP,0,0
05 January 2025,10,APXMIDP ,1197.4,81.2
05 January 2025,10,N2EXMIDP,0,0
05 January 2025,11,APXMIDP ,1585.45,77.84
05 January 2025,11,N2EXMIDP,0,0
05 January 2025,12,APXMIDP ,1587.85,78.28
05 January 2025,12,N2EXMIDP,0,0
05 January 2025,13,APXMIDP ,1394.25,83.24
05 January 2025,13,N2EXMIDP,0,0
05 January 2025,14,APXMIDP ,1271.6,88.74
05 January 2025,14,N2EXMIDP,0,0
05 January 2025,15,APXMIDP ,1545.85,105.37
05 January 2025,15,N2EXMIDP,0,0
05 January 2025,16,APXMIDP ,2186.55,103.99
05 January 2025,16,N2EXMIDP,0,0
05 January 2025,17,APXMIDP ,2474,113.79
05 January 2025,17,N2EXMIDP,0,0
